Name,Birth Name,Birth Date,Birthplace,Death Date,Death Place,Feast Day,Virtues/Traits,Patron Of,Martyr?,Priest/Religious?,Religious Order,Major Events,Notable Contributions,Quotes
St. Monica,,,,,,,,,,,,,,
Sts. Nereus & Achilleus,,,,,,,,,,,,,,
St. Ephrem,,,,,,,,,,,,,,
St. Joseph,,,,,,,,,,,,,,
St. Matthias,,,,,,,,,,,,,,
St. Ethelreda (Audrey),,,,,,,,,,,,,,
St. Bernardine of Siena,,,,,,,,,,,,,,
The Apostles,,,,,,,,,,,,,,
St. Catherine of Siena,,,,,,,,,,,,,,
St. Jerome,,,,,,,,,,,,,,
St. Longinus,,,,,,,,,,,,,,
St. Thomas Becket,,,,,,,,,,,,,,
Sts. Nereus & Achilleus,,,,,,,,,,,,,,
St. Agatha,,,,,,,,,,,,,,
St. Aloysius Gonzaga,,,,,,,,,,,,,,
St. Ambrose,,,,,,,,,,,,,,
St. Anastasia,,,,,,,,,,,,,,
St. Andre Bessette,,,,,,,,,,,,,,
St. Servulus,,,,,,,,,,,,,,
"Sts. Andrew Kim Taegon, Paul Chong Hasang, and Companions",,,,,,,,,,,,,,
St. Angela Merici,,,,,,,,,,,,,,
Sts. Joachim and Anne,,,,,,,,,,,,,,
St. Anthony the Abbot,,,,,,,,,,,,,,
St. Anthony of Padua,,,,,,,,,,,,,,
St. Augustine of Canterbury,,,,,,,,,,,,,,
St. Benedict,,,,,,,,,,,,,,
St. Bertin,,,,,,,,,,,,,,
St. Blaise,,,,,,,,,,,,,,
St. Boniface of Mainz,,,,,,,,,,,,,,
St. Cajetan,,,,,,,,,,,,,,
St. Callistus I,,,,,,,,,,,,,,
St. Adam,,,,,,,,,,,,,,
St. Casimir,,,,,,,,,,,,,,
St. Cecilia,,,,,,,,,,,,,,
St. Charles Lwanga and Companions,,,,,,,,,,,,,,
St. Christopher,,,,,,,,,,,,,,
Pope St. Clement I,,,,,,,,,,,,,,
St. Columban,,,,,,,,,,,,,,
Sts. Cyril and Methodius,,,,,,,,,,,,,,
St. Cyril of Jerusalem,,,,,,,,,,,,,,
Pope Saint Damasus I,,,,,,,,,,,,,,
"Sts. Denis, Rusticus, and Eleutherius",,,,,,,,,,,,,,
St. Dominic Savio,,,,,,,,,,,,,,
St. Eleutherius,,,,,,,,,,,,,,
St. Elizabeth of Hungary,,,,,,,,,,,,,,
St. Eusebius of Vercelli,,,,,,,,,,,,,,
St. Fabian,,,,,,,,,,,,,,
Sts. Perpetua and Felicity,,,,,,,,,,,,,,
St. Frances of Rome,,,,,,,,,,,,,,
St. Francis of Assisi,,,,,,,,,,,,,,
St. Francis de Sales,,,,,,,,,,,,,,
St. Germaine Cousin,,,,,,,,,,,,,,
Pope Saint Gregory III,,,,,,,,,,,,,,
Pope Saint Gregory the Great,,,,,,,,,,,,,,
St. Hilary of Poitiers,,,,,,,,,,,,,,
St. Ignatius Loyola,,,,,,,,,,,,,,
St. Ingrid of Sweden,,,,,,,,,,,,,,
St. Isidore of Seville,,,,,,,,,,,,,,
St. James the Greater,,,,,,,,,,,,,,
St. Jane Frances de Chantal,,,,,,,,,,,,,,
St. Jerome Emiliani,,,,,,,,,,,,,,
Sts. Joachim and Anne,,,,,,,,,,,,,,
St. John Bosco,,,,,,,,,,,,,,
St. John Chrysostom,,,,,,,,,,,,,,
St. John of the Cross,,,,,,,,,,,,,,
St. John of Damascus,,,,,,,,,,,,,,
St. John the Evangelist,,,,,,,,,,,,,,
St. John of God,,,,,,,,,,,,,,
St. John of Kanty,,,,,,,,,,,,,,
St. John Neumann,,,,,,,,,,,,,,
St. Josaphat of Polotsk,,,,,,,,,,,,,,
St. Joseph of Cupertino,,,,,,,,,,,,,,
St. Juan Diego,,,,,,,,,,,,,,
St. Justin,,,,,,,,,,,,,,
St. Lucy,,,,,,,,,,,,,,
St. Luke,,,,,,,,,,,,,,
Sts. Marcellinus and Peter,,,,,,,,,,,,,,
St. Maria Goretti,,,,,,,,,,,,,,
St. Martha,,,,,,,,,,,,,,
Pope Saint Martin I,,,,,,,,,,,,,,
St. Martin of Tours,,,,,,,,,,,,,,
St. Mary Magdalene de Pazzi,,,,,,,,,,,,,,
St. Mary Magdalene,,,,,,,,,,,,,,
St. Matthew,,,,,,,,,,,,,,
Sts. Cyril and Methodius,,,,,,,,,,,,,,
Bl. Miguel Pro,,,,,,,,,,,,,,
St. Norbert,,,,,,,,,,,,,,
St. Pancras,,,,,,,,,,,,,,
St. Patrick,,,,,,,,,,,,,,
Popular Saints,,,,,,,,,,,,,,
St. Paul,,,,,,,,,,,,,,
Popular Saints,,,,,,,,,,,,,,
St. Peter Canisius,,,,,,,,,,,,,,
St. Peter Claver,,,,,,,,,,,,,,
St. Anne,,,,,,,,,,,,,,
Popular Saints,,,,,,,,,,,,,,
St. Philip Neri,,,,,,,,,,,,,,
St. Philomena,,,,,,,,,,,,,,
St. Polycarp,,,,,,,,,,,,,,
Prayer to St. Francis of Assisi,,,,,,,,,,,,,,
